r  theta   phi  
3.7 0 -1.03673 
3.54 0 -1.00531 
3.42 0 -0.973894 
3.34 0 -0.942478 
3.3 0 -0.911062 
3.26 0 -0.879646 
3.26 0 -0.84823 
3.22 0 -0.816814 
3.22 0 -0.785398 
3.22 0 -0.753982 
3.26 0 -0.722566 
3.26 0 -0.69115 
3.3 0 -0.659734 
3.34 0 -0.628319 
3.42 0 -0.596903 
3.54 0 -0.565487 
3.7 0 -0.534071 
3.7 0 0.534071 
3.54 0 0.565487 
3.42 0 0.596903 
3.34 0 0.628319 
3.3 0 0.659734 
3.26 0 0.69115 
3.26 0 0.722566 
3.22 0 0.753982 
3.22 0 0.785398 
3.22 0 0.816814 
3.26 0 0.84823 
3.26 0 0.879646 
3.3 0 0.911062 
3.34 0 0.942478 
3.42 0 0.973894 
3.54 0 1.00531 
3.7 0 1.03673 
3.66 0.0628319 -1.03673 
3.54 0.0628319 -1.00531 
3.42 0.0628319 -0.973894 
3.34 0.0628319 -0.942478 
3.3 0.0628319 -0.911062 
3.26 0.0628319 -0.879646 
3.22 0.0628319 -0.84823 
3.22 0.0628319 -0.816814 
3.22 0.0628319 -0.785398 
3.22 0.0628319 -0.753982 
3.22 0.0628319 -0.722566 
3.26 0.0628319 -0.69115 
3.3 0.0628319 -0.659734 
3.34 0.0628319 -0.628319 
3.42 0.0628319 -0.596903 
3.5 0.0628319 -0.565487 
3.66 0.0628319 -0.534071 
3.94 0.0628319 -0.502655 
3.94 0.0628319 0.502655 
3.66 0.0628319 0.534071 
3.5 0.0628319 0.565487 
3.42 0.0628319 0.596903 
3.34 0.0628319 0.628319 
3.3 0.0628319 0.659734 
3.26 0.0628319 0.69115 
3.22 0.0628319 0.722566 
3.22 0.0628319 0.753982 
3.22 0.0628319 0.785398 
3.22 0.0628319 0.816814 
3.22 0.0628319 0.84823 
3.26 0.0628319 0.879646 
3.3 0.0628319 0.911062 
3.34 0.0628319 0.942478 
3.42 0.0628319 0.973894 
3.54 0.0628319 1.00531 
3.66 0.0628319 1.03673 
4.02 0.125664 -1.06814 
3.66 0.125664 -1.03673 
3.5 0.125664 -1.00531 
3.42 0.125664 -0.973894 
3.34 0.125664 -0.942478 
3.3 0.125664 -0.911062 
3.26 0.125664 -0.879646 
3.22 0.125664 -0.84823 
3.22 0.125664 -0.816814 
3.18 0.125664 -0.785398 
3.18 0.125664 -0.753982 
3.22 0.125664 -0.722566 
3.22 0.125664 -0.69115 
3.26 0.125664 -0.659734 
3.3 0.125664 -0.628319 
3.38 0.125664 -0.596903 
3.42 0.125664 -0.565487 
3.54 0.125664 -0.534071 
3.74 0.125664 -0.502655 
3.74 0.125664 0.502655 
3.54 0.125664 0.534071 
3.42 0.125664 0.565487 
3.38 0.125664 0.596903 
3.3 0.125664 0.628319 
3.26 0.125664 0.659734 
3.22 0.125664 0.69115 
3.22 0.125664 0.722566 
3.18 0.125664 0.753982 
3.18 0.125664 0.785398 
3.22 0.125664 0.816814 
3.22 0.125664 0.84823 
3.26 0.125664 0.879646 
3.3 0.125664 0.911062 
3.34 0.125664 0.942478 
3.42 0.125664 0.973894 
3.5 0.125664 1.00531 
3.66 0.125664 1.03673 
4.02 0.125664 1.06814 
3.94 0.188496 -1.06814 
3.62 0.188496 -1.03673 
3.5 0.188496 -1.00531 
3.38 0.188496 -0.973894 
3.3 0.188496 -0.942478 
3.26 0.188496 -0.911062 
3.22 0.188496 -0.879646 
3.18 0.188496 -0.84823 
3.18 0.188496 -0.816814 
3.18 0.188496 -0.785398 
3.18 0.188496 -0.753982 
3.18 0.188496 -0.722566 
3.18 0.188496 -0.69115 
3.22 0.188496 -0.659734 
3.26 0.188496 -0.628319 
3.3 0.188496 -0.596903 
3.34 0.188496 -0.565487 
3.42 0.188496 -0.534071 
3.54 0.188496 -0.502655 
3.74 0.188496 -0.471239 
3.74 0.188496 0.471239 
3.54 0.188496 0.502655 
3.42 0.188496 0.534071 
3.34 0.188496 0.565487 
3.3 0.188496 0.596903 
3.26 0.188496 0.628319 
3.22 0.188496 0.659734 
3.18 0.188496 0.69115 
3.18 0.188496 0.722566 
3.18 0.188496 0.753982 
3.18 0.188496 0.785398 
3.18 0.188496 0.816814 
3.18 0.188496 0.84823 
3.22 0.188496 0.879646 
3.26 0.188496 0.911062 
3.3 0.188496 0.942478 
3.38 0.188496 0.973894 
3.5 0.188496 1.00531 
3.62 0.188496 1.03673 
3.94 0.188496 1.06814 
3.86 0.251327 -1.06814 
3.58 0.251327 -1.03673 
3.46 0.251327 -1.00531 
3.38 0.251327 -0.973894 
3.3 0.251327 -0.942478 
3.22 0.251327 -0.911062 
3.22 0.251327 -0.879646 
3.18 0.251327 -0.84823 
3.14 0.251327 -0.816814 
3.14 0.251327 -0.785398 
3.14 0.251327 -0.753982 
3.14 0.251327 -0.722566 
3.14 0.251327 -0.69115 
3.18 0.251327 -0.659734 
