q chi 
0 0.142877
0.039767 0.142946
0.079534 0.143015
0.119301 0.143089
0.159068 0.143172
0.198835 0.143397
0.238602 0.143622
0.278369 0.143848
0.318136 0.144089
0.357903 0.144468
0.39767 0.144848
0.437437 0.145231
0.477204 0.145638
0.516971 0.146178
0.556738 0.14672
0.596505 0.147268
0.636272 0.147849
0.676039 0.148563
0.715806 0.149279
0.755573 0.150004
0.79534 0.150773
0.835107 0.151674
0.874874 0.15258
0.914641 0.153499
0.954408 0.154475
0.994175 0.155585
1.03394 0.156703
1.07371 0.157837
1.11348 0.159046
1.15324 0.160391
1.19301 0.16175
1.23278 0.16313
1.27254 0.164605
1.31231 0.166222
1.35208 0.167859
1.39184 0.169525
1.43161 0.171311
1.47138 0.173244
1.51115 0.175211
1.55091 0.177213
1.59068 0.179371
1.63045 0.181683
1.67021 0.184047
1.70998 0.186457
1.74975 0.189066
1.78951 0.191836
1.82928 0.19469
1.86905 0.197605
1.90882 0.200763
1.94858 0.204084
1.98835 0.207553
2.02812 0.211111
2.06788 0.214903
2.10765 0.218821
2.14742 0.223061
2.18718 0.227457
2.22695 0.231781
2.26672 0.236074
2.30649 0.241175
2.34625 0.246582
2.38602 0.250836
2.42579 0.254705
2.46555 0.260105
2.50532 0.265948
2.54509 0.269275
2.58485 0.271972
2.62462 0.275749
2.66439 0.279755
2.70416 0.281841
2.74392 0.283589
2.78369 0.283575
2.82346 0.28331
2.86322 0.28154
2.90299 0.279603
2.94276 0.272066
2.98252 0.264075
3.02229 0.260346
3.06206 0.256842
3.10183 0.253549
3.14159 0.250261

0 0.143584
0.039767 0.143655
0.079534 0.143727
0.119301 0.143798
0.159068 0.143876
0.198835 0.144092
0.238602 0.144309
0.278369 0.144527
0.318136 0.144758
0.357903 0.145114
0.39767 0.145471
0.437437 0.145839
0.477204 0.146225
0.516971 0.146711
0.556738 0.147204
0.596505 0.147722
0.636272 0.148255
0.676039 0.148851
0.715806 0.149461
0.755573 0.150125
0.79534 0.150784
0.835107 0.151431
0.874874 0.152117
0.914641 0.152906
0.954408 0.153631
0.994175 0.154205
1.03394 0.154869
1.07371 0.15572
1.11348 0.156382
1.15324 0.156693
1.19301 0.157164
1.23278 0.157902
1.27254 0.158317
1.31231 0.158247
1.35208 0.158354
1.39184 0.158701
1.43161 0.158739
1.47138 0.158397
1.51115 0.158118
1.55091 0.157908
1.59068 0.157606
1.63045 0.157214
1.67021 0.156686
1.70998 0.156036
1.74975 0.155551
1.78951 0.1552
1.82928 0.154553
1.86905 0.153687
1.90882 0.153132
1.94858 0.152785
1.98835 0.152051
2.02812 0.151086
2.06788 0.150459
2.10765 0.150014
2.14742 0.149123
2.18718 0.148017
2.22695 0.147177
2.26672 0.14645
2.30649 0.145179
2.34625 0.143701
2.38602 0.142237
2.42579 0.140778
2.46555 0.138402
2.50532 0.135759
2.54509 0.132257
2.58485 0.128541
2.62462 0.124118
2.66439 0.119546
2.70416 0.116378
2.74392 0.113458
2.78369 0.111077
2.82346 0.108774
2.86322 0.107444
2.90299 0.106223
2.94276 0.105104
2.98252 0.103994
3.02229 0.103601
3.06206 0.103245
3.10183 0.102899
3.14159 0.102553

0 0.0893719
0.039767 0.0893618
0.079534 0.0893515
0.119301 0.089335
0.159068 0.0893173
0.198835 0.0892787
0.238602 0.0892395
0.278369 0.089193
0.318136 0.0891449
0.357903 0.0890817
0.39767 0.0890169
0.437437 0.0889413
0.477204 0.088864
0.516971 0.0887776
0.556738 0.0886876
0.596505 0.088581
0.636272 0.0884742
0.676039 0.0883666
0.715806 0.0882518
0.755573 0.0881124
0.79534 0.0879761
0.835107 0.0878487
0.874874 0.087709
0.914641 0.0875368
0.954408 0.0873704
0.994175 0.0872176
1.03394 0.0870458
1.07371 0.0868347
1.11348 0.0866327
1.15324 0.0864473
1.19301 0.0862343
1.23278 0.0859754
1.27254 0.085727
1.31231 0.0854944
1.35208 0.0852232
1.39184 0.0848997
1.43161 0.0845854
1.47138 0.0842823
1.51115 0.0839257
1.55091 0.0835099
1.59068 0.0830957
1.63045 0.0826833
1.67021 0.0821954
1.70998 0.0816394
1.74975 0.0810646
1.78951 0.0804745
1.82928 0.0797726
1.86905 0.078988
1.90882 0.0781313
1.94858 0.0772264
1.98835 0.076129
2.02812 0.074916
2.06788 0.0734461
2.10765 0.0718378
2.14742 0.0697502
2.18718 0.0674319
2.22695 0.0646482
2.26672 0.0616652
2.30649 0.0589035
2.34625 0.0562258
2.38602 0.0542256
2.42579 0.0524513
2.46555 0.0509535
2.50532 0.049536
2.54509 0.0484614
2.58485 0.0474725
2.62462 0.0465769
2.66439 0.0457011
2.70416 0.0450651
2.74392 0.0444713
2.78369 0.0439146
2.82346 0.0433631
2.86322 0.0430183
2.90299 0.0426965
2.94276 0.0423867
2.98252 0.0420779
3.02229 0.0419658
3.06206 0.0418642
3.10183 0.0417638
3.14159 0.0416635

0 0.0574805
0.039767 0.0574665
0.079534 0.0574525
0.119301 0.0574363
0.159068 0.0574186
0.198835 0.0573739
0.238602 0.0573291
0.278369 0.0572818
0.318136 0.0572315
0.357903 0.0571549
0.39767 0.0570776
0.437437 0.0569962
0.477204 0.0569101
0.516971 0.0567971
0.556738 0.0566827
0.596505 0.0565612
0.636272 0.0564332
0.676039 0.0562789
0.715806 0.0561214
0.755573 0.0559527
0.79534 0.055775
0.835107 0.0555699
0.874874 0.0553586
0.914641 0.0551311
0.954408 0.0548908
0.994175 0.0546206
1.03394 0.0543395
1.07371 0.0540356
1.11348 0.0537128
1.15324 0.053355
1.19301 0.0529786
1.23278 0.0525712
1.27254 0.0521338
1.31231 0.0516512
1.35208 0.0511368
1.39184 0.0505794
1.43161 0.0499695
1.47138 0.0492953
1.51115 0.048562
1.55091 0.0477633
1.59068 0.0468535
1.63045 0.0458324
1.67021 0.044671
1.70998 0.0433826
1.74975 0.0417944
1.78951 0.0399609
1.82928 0.0379223
1.86905 0.035732
1.90882 0.0336974
1.94858 0.0317664
1.98835 0.0301356
2.02812 0.028685
2.06788 0.0275029
2.10765 0.0264654
2.14742 0.0255518
2.18718 0.0246978
2.22695 0.0239818
2.26672 0.0233248
2.30649 0.0227257
2.34625 0.0221485
2.38602 0.0216699
2.42579 0.021224
2.46555 0.0208093
2.50532 0.0204035
2.54509 0.0200793
2.58485 0.0197756
2.62462 0.0194884
2.66439 0.0192047
2.70416 0.0189942
2.74392 0.0187967
2.78369 0.0186071
2.82346 0.0184186
2.86322 0.0182995
2.90299 0.0181882
2.94276 0.0180796
2.98252 0.0179712
3.02229 0.0179318
3.06206 0.017896
3.10183 0.0178604
3.14159 0.0178249

