-0.9 1 1.037  1.037  -0.532  -0.532  -0.532  -3.851e-22  -4.051e-22  8.582e-36  -4.457 -4.456 0  
-1 1 0.7337  0.7337  -0.3078  -0.3078  -0.3078  1.047e-34  -4.987e-35  -1.87e-35  -3.964 -3.963 0  
-1.1 1 0.5565  0.5565  -0.2027  -0.2027  -0.2027  2.029e-35  -1.015e-35  -2.156e-35  -3.621 -3.62 0  
-1.2 1 0.4367  0.4367  -0.1421  -0.1421  -0.1421  1.473e-20  -3.861e-21  7.761e-36  -3.344 -3.344 0  
-1.3 1 0.3462  0.3462  -0.1057  -0.1057  -0.1057  -5.446e-20  -3.698e-20  -3.848e-21  -3.094 -3.093 0  
-1.4 1 0.2764  0.2764  -0.08246  -0.08246  -0.08246  -1.75e-20  2.36e-20  8.122e-21  -2.864 -2.863 0  
-1.5 1 0.2233  0.2233  -0.06623  -0.06623  -0.06623  -4.762e-20  3.543e-21  5.571e-21  -2.657 -2.656 0  
-1.6 1 0.1858  0.1858  -0.05343  -0.05343  -0.05343  -3.689e-21  2.024e-20  -7.826e-35  -2.482 -2.481 0  
-1.7 1 0.157  0.157  -0.04308  -0.04308  -0.04308  -4.305e-20  4.718e-20  -2.359e-21  -2.316 -2.316 0  
-1.8 1 0.1291  0.1291  -0.03274  -0.03274  -0.03274  3.123e-20  -2.898e-20  6.229e-22  -2.121 -2.121 0  
-1.9 1 0.09412  0.09412  -0.0235  -0.0235  -0.0235  2.659e-20  -5.188e-20  -1.681e-20  -1.862 -1.862 0  
-2 1 0.05192  0.05192  -0.01436  -0.01436  -0.01436  3.174e-20  -5.029e-21  1.341e-21  -1.509 -1.509 0  
-2.1 1 0.02354  0.02354  -0.00571  -0.00571  -0.00571  1.828e-21  -3.611e-21  -5.487e-35  -1.197 -1.197 0  
-2.2 1 0.00868  0.00868  0.0009058  0.0009058  0.0009058  1.028e-20  1.396e-20  2.141e-22  -0.9735 -0.9735 0  
